Pillar,Capability,Activity,ActivityDescriptions,ActivityOutcomes,CapabilityDescription,CapabilityOutcome,AssociatedActivities,AssessmentId,AssessmentName,AssessmentDescription,Standard,Control
" User","1.2 Conditional User Access","1.2.1 implement app based permissions per enterprise","The DoD enterprise working with the Organizations establishes a basic set of user attributes for authentication and authorization. These are integrated with the ?Enterprise Identity Life-Cycle Management Pt1? activity process for a complete enterprise standard. The enterprise Identity, Credential and Access Management (ICAM) solution is enabled for self-service functionality for adding/updating attributes within the solution. Remining Privileged Access Management (PAM) activities are fully migrated to PAM solution.","Enterprise roles/attributes needed for user authorization to application functions and/or data have been registered with enterprise ICAM; DoD Enterprise ICAM has self- service attribute/role registration service that enables application owners to add attributes or use existing enterprise attributes; Privileged activities are fully migrated to PAM","Through maturity levels Conditional Access works to create a dynamic level of access for users in the environment. This starts with traditional role based access controls across a federate ICAM, expands to be application focused roles and ultimately utilizes enterprise attributes to provide dynamic access rules.","Eventually, organizations control user, device, and non-user entity DAAS access through dynamically changing user risk profiles and fine grained access control to include the use of user risk assessments","* Implement App Based Permissions per Enterprise
* Rule Based Dynamic Access Pt1
* Rule Based Dynamic Access Pt2
* Enterprise Gov't roles and Permissions Pt1
* Enterprise Gov't roles and Permissions Pt2","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Use a managed identity for enhanced authentication security","NIST SP 800-53 Rev. 5","AC-16"
" User","1.2 Conditional User Access","1.2.1 implement app based permissions per enterprise","The DoD enterprise working with the Organizations establishes a basic set of user attributes for authentication and authorization. These are integrated with the ?Enterprise Identity Life-Cycle Management Pt1? activity process for a complete enterprise standard. The enterprise Identity, Credential and Access Management (ICAM) solution is enabled for self-service functionality for adding/updating attributes within the solution. Remining Privileged Access Management (PAM) activities are fully migrated to PAM solution.","Enterprise roles/attributes needed for user authorization to application functions and/or data have been registered with enterprise ICAM; DoD Enterprise ICAM has self- service attribute/role registration service that enables application owners to add attributes or use existing enterprise attributes; Privileged activities are fully migrated to PAM","Through maturity levels Conditional Access works to create a dynamic level of access for users in the environment. This starts with traditional role based access controls across a federate ICAM, expands to be application focused roles and ultimately utilizes enterprise attributes to provide dynamic access rules.","Eventually, organizations control user, device, and non-user entity DAAS access through dynamically changing user risk profiles and fine grained access control to include the use of user risk assessments","* Implement App Based Permissions per Enterprise
* Rule Based Dynamic Access Pt1
* Rule Based Dynamic Access Pt2
* Enterprise Gov't roles and Permissions Pt1
* Enterprise Gov't roles and Permissions Pt2","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Use a managed identity for enhanced authentication security","NIST SP 800-53 Rev. 5","AC-2"
" Applications and Workloads","3.3 Software Risk Management","3.3.2 vulnerability management program pt1","The DoD Enterprise works with Organizations to establish and manage a Vulnerability Management program. The program includes a policy and standards agreed upon by all Organizations. The developed program includes at a minimum the track and management of public vulnerabilities based on DoD applications/services.  Organizations establish a vulnerability management team with key stakeholders where vulnerabilities are discussed and managed following the Enterprise policy and standards.","Vulnerability Management Team is in place w/ appropriate stakeholder membership; Vulnerability Management  policy and process is in place and agreed to w/ stakeholders; Public source of vulnerabilities are being utilized for tracking","DoD organizations establish software/application risk management program. Foundational controls include Bill of Materials risk management, Supplier Risk Management,  approved repositories and update channels, and vulnerability management program. Additional controls include Continual validation within the CI/CD pipelines and vulnerability maturation with external sources.","DoD establishes policies and procedures to secure supply chain cybersecurity for code components within DoD and DIB systems by evaluating and identifying supplier sourcing risk for approved sources, creating
repositories and update channels for use by development teams, creating Bill of Materials for applications to identify source, supportability and risk posture, and establishing industry standard (DIB) and approved vulnerability databases for use in
DevSecOps","* Approved Binaries/Code
* Vulnerability Management Program Pt1
* Vulnerability Management Program Pt2
* Continual Validation","1c988dd6-ade4-430f-a608-2a3e5b0a6d38","Microsoft Defender for Containers should be enabled","Microsoft Defender for Containers provides hardening, vulnerability assessment and run-time protections for your Azure, hybrid, and multi-cloud Kubernetes environments.","NIST SP 800-53 Rev. 5","AU-2"
" Automation and Orchestration","6.4 Artificial Intelligence","6.4.2 ai driven by analytics decides a&o modifications","DoD Organizations utilizing existing machine learning functions implement and use AI technology such as neural networks to drive automation and orchestration decisions. Decision making is moved to AI as much as possible freeing up human staff for other efforts.
Utilizing historical patterns, AI will make anticipatory changes in the
environment to better reduce risk.","AI is able to make changes to automated workflow activities","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental analysis.","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental
analysis","* Implement AI automation tools
* AI Driven by Analytics decides A&O modifications","564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Web Application Firewall (WAF) should be enabled for Application Gateway","Deploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.","NIST SP 800-53 Rev. 5","SC-7(3)"
" Device","2.4 Remote Access","2.4.4 managed and full byod & iot support pt2","DoD Organizations utilize Unified Endpoint and Device Management (UEDM) and similar solutions to enable access for unmanaged devices meeting device checks and standard baselines. All possible services/applications are integrated to allow access to managed devices. Unmanaged devices are integrated with services/applications based on risk driven methodical authorization approach.","All possible services require dynamic access for deviceslll","DoD organizations audit existing device access processes and tooling to set a least privilege baseline. In phase 2 this access is expanded to cover basic BYOD and IOT support using the Enterprise IDP for approved applications. The final phases expand coverage to include all BYOD and IOT devices for services  using the approved set of device attributes.","DoD organizations establish policies to allow authorized users and devices access to the network or a device from a geographical distance through a network connection","* Deny Device by Default Policy
* Managed and Limited BYOD & IOT Support
* Managed and Full BYOD & IOT Support Pt1
* Managed and Full BYOD & IOT Support Pt2","383856f8-de7f-44a2-81fc-e5135b5c2aa4","Resource logs in IoT Hub should be enabled","Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised","FedRAMP High","AU-6(5)"
" User","1.9 Integrated ICAM Platform","1.9.3 enterprise pki/idp pt3","DoD Organizations integrate the remaining applications/services with
Biometrics functionalities. Alternative Multi-Factor (MFA) tokens can be used.","All Organizational Services Integrate w/ Biometrics","DoD organizations and overall enterprise employ enterprise-level identity management and public key infrastructure (PKI) systems to track user, administrator and NPE identities across the network and ensure access is limited to only those who have the need and the right to know. Organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool. PKI systems can be federated but must either trust a central root certificate authority (CA) and/or cross-sign standardized organizational CA?s.","DoD organizations employ enterprise-level identity management systems to track user and NPE identities across the network and ensure access is limited to only those who have the need and the right to know; organizations can verify they need and have the right to access via credential management systems, identity governance and administration tools, and an access management tool","* Enterprise PKI/IDP Pt1
* Enterprise PKI/IDP Pt2
* Enterprise PKI/IDP Pt3","0da106f2-4ca3-48e8-bc85-c638fe6aea8f","Function apps should use managed identity","Use a managed identity for enhanced authentication security","NIST SP 800-171 Rev. 2","3.5.5"
" Data","4.2 DoD Enterprise Data Governance","4.2.2 interoperability standards","The DoD Enterprise collaborating with the organizations develops interoperability standards integrating mandatory Data Rights Management (DRM) and Protection solutions with necessary
technologies to enable ZT target functionality.","Formal standards are in place by the Enterprise for the appropriate data standards","DoD establishes enterprise data labeling/tagging and DAAS access control/sharing policies (e.g., SDS policy) that are enforceable. Developed enterprise standards ensure an appropriate level of interoperability between DoD Organizations.","DoD establishes enterprise data labeling/tagging and DAAS access control/sharing policies (e.g., SDS policy) that are enforceable at the field level","* Define Data Tagging Standards
* Interoperability Standards
* Develop Software Defined Storage (SDS) Policy","f476f3b0-4152-526e-a209-44e5f8c968d7","Establish network segmentation for card holder data environment","CMA_0273 - Establish network segmentation for card holder data environment","NIST SP 800-53 Rev. 4","AC-4(21)"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","fc5e4038-4584-4632-8c85-c0448d374b2c","[Preview]: All Internet traffic should be routed via your deployed Azure Firewall","Azure Security Center has identified that some of your subnets aren't protected with a next generation firewall. Protect your subnets from potential threats by restricting access to them with Azure Firewall or a supported next generation firewall","NIST SP 800-53 Rev. 5","SC-13"
" Visibility and Analytics","7.1 Log All Traffic (Network, Data, Apps,
Users)","7.1.1 scale considerations","DoD Organizations conduct analysis to determine current and future needs of scaling. Scaling is analyzed following common industry best practice methods and ZT Pillars. The team works with existing Business Continuity Planning (BCP) and Disaster Recovery Planning (DPR)  groups to determine distributed environment needs in emergencies
and as organizations grow.","Sufficient infrastructure in place; Distributed environment established; Sufficient bandwidth for network traffic","DoD organizations collect and process all logs including network, data, application, device, and user logs and make those logs available to the appropriate Computer Network Defense Service Provider (CNDSP) or security operations center (SOC). Logs and events follow a standardized format and rules/analytics are
developed as needed.","DoD organizations collect and process all logs including network, data, application, device, and user logs and make those logs available to the appropriate Computer Network Defense Service Provider (CNDSP) or SOC","* Scale Considerations
* Log Parsing
* Log Analysis","fc5e4038-4584-4632-8c85-c0448d374b2c","[Preview]: All Internet traffic should be routed via your deployed Azure Firewall","Azure Security Center has identified that some of your subnets aren't protected with a next generation firewall. Protect your subnets from potential threats by restricting access to them with Azure Firewall or a supported next generation firewall","NIST SP 800-53 Rev. 5","AU-5"
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","b6e2945c-0b7b-40f5-9233-7a5323b5cdc6","Network Watcher should be enabled","Network Watcher is a regional service that enables you to monitor and diagnose conditions at a network scenario level in, to, and from Azure. Scenario level monitoring enables you to diagnose problems at an end to end network level view. It is required to have a network watcher resource group to be created in every region where a virtual network is present. An alert is enabled if a network watcher resource group is not available in a particular region.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.5 Security Orchestration,
Automation & Response (SOAR)","6.5.2 implement soar tools","DoD enterprise working with Organizations develops a standard set of requirements for security orchestration, automation, and response (SOAR) tooling to enable target level ZTA functions. DoD Organizations use approved requirements to procure and implement SOAR solution.
Basic infrastructure integrations for future SOAR functionality is
completed.","Develop requirements for SOAR tool; Procure SOAR tools","DoD organizations achieve initial operational capability of security technologies to orchestrate and automate policies (e.g., PEPs and PDPs) and rulesets to improve security operations, threat and vulnerability management, and security incident response by ingesting alert data, triggering playbooks for automated response and remediation.","DoD organizations achieve IOC of security technologies to orchestrate and automate policies (e.g., PEPs and PDPs) and rulesets to improve security operations, threat and vulnerability management, and security incident response by ingesting alert  data, triggering playbooks for automated response and remediation","* Response Automation Analysis
* Implement SOAR Tools
* Implement Playbooks","b6e2945c-0b7b-40f5-9233-7a5323b5cdc6","Network Watcher should be enabled","Network Watcher is a regional service that enables you to monitor and diagnose conditions at a network scenario level in, to, and from Azure. Scenario level monitoring enables you to diagnose problems at an end to end network level view. It is required to have a network watcher resource group to be created in every region where a virtual network is present. An alert is enabled if a network watcher resource group is not available in a particular region.","NIST SP 800-53 Rev. 5","AU-2"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","4f11b553-d42e-4e3a-89be-32ca364cad4c","A maximum of 3 owners should be designated for your subscription","It is recommended to designate up to 3 subscription owners in order to reduce the potential for breach by a compromised owner.","NIST SP 800-53 Rev. 5","IA-2"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","4f11b553-d42e-4e3a-89be-32ca364cad4c","A maximum of 3 owners should be designated for your subscription","It is recommended to designate up to 3 subscription owners in order to reduce the potential for breach by a compromised owner.","NIST SP 800-53 Rev. 5","AC-2"
" User","1.1 User Inventory","1.1.1 inventory user","DoD Organizations establish and update a user inventory manually if needed, preparing for automated approach in later stages. Accounts both centrally managed by an IdP/ICAM and locally on systems will be identified and inventoried. Privileged accounts will be identified for future audit and both standard and privileged user accounts local to applications and systems will be identified for future migration and/or
decommission.","Identified Managed Regular Users; Identified Managed Privileged Users; Identified applications using their own user account management for non-administrative and administrative accounts","Regular and Privileged users are identified and integrated into an inventory supporting regular modifications. Applications, software and services that have local users are all part of the
inventory and highlighted.","System owners have control (visibility and administrative rights) of all authorized and authenticated users on the network","* Inventory User","4f11b553-d42e-4e3a-89be-32ca364cad4c","A maximum of 3 owners should be designated for your subscription","It is recommended to designate up to 3 subscription owners in order to reduce the potential for breach by a compromised owner.","NIST SP 800-53 Rev. 5","AC-14"
" Automation and Orchestration","6.6 API Standardization","6.6.3 standardized api calls & schemas pt2","DoD Organizations complete the migration to the new programmatic interface standard. Tools marked for decommission in the previous activity are retired and functions are migrated to modernized tools.
Approved schemas are adopted based on the DoD Enterprise
standard/requirements.","All calls and schemas are implemented","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Azure Virtual Network deployment provides enhanced security, isolation and allows you to place your API Management service in a non-internet routable network that you control access to. These networks can then be connected to your on-premises networks using various VPN technologies, which enables access to your backend services within the network and/or on-premises. The developer portal and API gateway, can be configured to be accessible either from the Internet or only within the virtual network.","NIST SP 800-171 Rev. 2","3.13.5"
