ActivityNumber,ActivityName,TargetLevel,Coverage,NISTControl,NISTControlName,TTP,TTPName
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1005,Data from Local System
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021,Remote Services
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.001,Remote Desktop Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.002,SMB/Windows Admin Shares
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.003,Distributed Component Object Model
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.004,SSH
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.005,VNC
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1021.006,Windows Remote Management
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1025,Data from Removable Media
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1036,Masquerading
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1036.003,Rename System Utilities
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1036.005,Match Legitimate Name or Location
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1037,Boot or Logon Initialization Scripts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1037.002,Logon Script (Mac)
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1037.003,Network Logon Script
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1037.004,RC Scripts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1037.005,Startup Items
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1041,Exfiltration Over C2 Channel
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1047,Windows Management Instrumentation
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1048,Exfiltration Over Alternative Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1052,Exfiltration Over Physical Medium
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1052.001,Exfiltration over USB
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053,Scheduled Task/Job
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053.002,At (Windows)
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053.003,Cron
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053.005,Scheduled Task
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053.006,Systemd Timers
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1053.007,Container Orchestration Job
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1055,Process Injection
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1055.008,Ptrace System Calls
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1055.009,Proc Memory
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1056.003,Web Portal Capture
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059,Command and Scripting Interpreter
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.001,PowerShell
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.002,AppleScript
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.003,Windows Command Shell
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.004,Unix Shell
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.005,Visual Basic
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.006,Python
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.007,JavaScript
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1059.008,Network Device CLI
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070,Indicator Removal on Host
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.001,Clear Windows Event Logs
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.002,Clear Linux or Mac System Logs
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.003,Clear Command History
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.007,Clear Network Connection History and Configurations
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.008,Clear Mailbox Data
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1070.009,Clear Persistence
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1071.004,DNS
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1072,Software Deployment Tools
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1078,Valid Accounts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1078.002,Domain Accounts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1078.003,Local Accounts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1078.004,Cloud Accounts
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1080,Taint Shared Content
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1087.004,Cloud Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1090,Proxy
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1090.003,Multi-hop Proxy
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1091,Replication Through Removable Media
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1095,Non-Application Layer Protocol
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098,Account Manipulation
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098.001,Additional Cloud Credentials
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098.002,Exchange Email Delegate Permissions
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098.003,Add Office 365 Global Administrator Role
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098.004,SSH Authorized Keys
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1098.005,Device Registration
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1110,Brute Force
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1110.001,Password Guessing
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1110.002,Password Cracking
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1110.003,Password Spraying
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1110.004,Credential Stuffing
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1114,Email Collection
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1114.002,Remote Email Collection
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1133,External Remote Services
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1134,Access Token Manipulation
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1134.001,Token Impersonation/Theft
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1134.002,Create Process with Token
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1134.003,Make and Impersonate Token
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1134.005,SID-History Injection
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1136,Create Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1136.001,Local Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1136.002,Domain Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1136.003,Cloud Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1185,Browser Session Hijacking
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1187,Forced Authentication
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1190,Exploit Public-Facing Application
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1197,BITS Jobs
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1199,Trusted Relationship
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1200,Hardware Additions
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1205,Traffic Signaling
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1205.001,Port Knocking
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1210,Exploitation of Remote Services
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1213,Data from Information Repositories
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1213.001,Confluence
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1213.002,Sharepoint
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1213.003,Code Repositories
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1218,Signed Binary Proxy Execution
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1218.002,Control Panel
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1218.007,Msiexec
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1218.012,Verclsid
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1219,Remote Access Software
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1222,File and Directory Permissions Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1222.001,Windows File and Directory Permissions Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1222.002,Linux and Mac File and Directory Permissions Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1484,Domain Policy Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1485,Data Destruction
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1486,Data Encrypted for Impact
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1489,Service Stop
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1490,Inhibit System Recovery
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1491,Defacement
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1491.001,Internal Defacement
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1491.002,External Defacement
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1495,Firmware Corruption
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1498,Network Denial of Service
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1498.001,Direct Network Flood
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1498.002,Reflection Amplification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1499,Endpoint Denial of Service
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1499.001,OS Exhaustion Flood
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1499.002,Service Exhaustion Flood
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1499.003,Application Exhaustion Flood
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1499.004,Application or System Exploitation
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1505,Server Software Component
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1505.002,Transport Agent
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1505.003,Web Shell
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1505.004,IIS Components
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1505.005,Terminal Services DLL
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1525,Implant Internal Image
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1528,Steal Application Access Token
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1530,Data from Cloud Storage Object
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1537,Transfer Data to Cloud Account
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1538,Cloud Service Dashboard
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1539,Steal Web Session Cookie
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1542,Pre-OS Boot
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1542.001,System Firmware
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1542.003,Bootkit
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1542.004,ROMMONkit
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1542.005,TFTP Boot
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1543,Create or Modify System Process
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1543.001,Launch Agent
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1543.002,Systemd Service
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1543.003,Windows Service
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1543.004,Launch Daemon
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1546.003,Windows Management Instrumentation Event Subscription
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1546.004,Unix Shell Configuration Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1546.013,PowerShell Profile
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.003,Time Providers
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.004,Winlogon Helper DLL
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.006,Kernel Modules and Extensions
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.007,Re-opened Applications
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.009,Shortcut Modification
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.012,Print Processors
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1547.013,XDG Autostart Entries
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1548,Abuse Elevation Control Mechanism
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1548.002,Bypass User Account Control
